brand,model,year,mileage,fuel_type,transmission,origin,car_type,seats,price
Ford,Fiesta,2018.0,87000.0,Xăng,Tự động,Việt Nam,Hatchback,5.0,336000000
Mitsubishi,Xpander,2024.0,45000.0,Xăng,Tự động,Việt Nam,Minivan (MPV),7.0,605000000
Toyota,Innova,2017.0,92000.0,Xăng,Số sàn,Việt Nam,Minivan (MPV),8.0,408000000
Mercedes Benz,C Class,2016.0,85000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,599000000
Toyota,Innova,2018.0,89000.0,Xăng,Tự động,Việt Nam,Minivan (MPV),8.0,535000000
Mazda,CX 5,2017.0,60000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,511000000
Toyota,Zace,2002.0,72000.0,Xăng,Số sàn,Nhật Bản,SUV / Cross over,8.0,195000000
Kia,Morning,2016.0,70500.0,Xăng,Tự động,Việt Nam,Hatchback,5.0,245000000
Honda,CR V,2017.0,110000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,560000000
Hyundai,Accent,2020.0,85000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,399000000
Porsche,Panamera,2017.0,60000.0,Xăng,Bán tự động,Đức,Sedan,4.0,3199000000
Kia,Carnival,2023.0,30000.0,Dầu,Tự động,Việt Nam,SUV / Cross over,7.0,1338000000
Mitsubishi,Triton,2022.0,66000.0,Dầu,Tự động,Thái Lan,Pick-up (bán tải),2.0,559000000
Ford,Explorer,2017.0,30000.0,Xăng,Tự động,Thái Lan,SUV / Cross over,7.0,869000000
Mazda,CX 8,2021.0,14000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,7.0,830000000
Mitsubishi,Mirage,2017.0,86000.0,Xăng,Tự động,Thái Lan,Hatchback,5.0,279000000
Toyota,Wigo,2019.0,45000.0,Xăng,Tự động,Nước khác,Hatchback,5.0,285000000
Hyundai,Accent,2019.0,85000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,352000000
Kia,K3,2022.0,54000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,540000000
Toyota,Vios,2019.0,72000.0,Xăng,Số sàn,Việt Nam,Sedan,5.0,278000000
Hyundai,Kona,2019.0,68000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,465000000
Ford,Fiesta,2011.0,100000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,205000000
Toyota,Innova,2018.0,180000.0,Xăng,Số sàn,Việt Nam,Minivan (MPV),8.0,395000000
Hyundai,Accent,2021.0,65000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,425000000
Toyota,Camry,2020.0,70000.0,Xăng,Tự động,Thái Lan,Sedan,5.0,809000000
Toyota,Corolla Cross,2020.0,45000.0,Xăng,Tự động,Thái Lan,SUV / Cross over,5.0,685000000
Toyota,Hiace,2018.0,19000.0,Dầu,Số sàn,Nhật Bản,Minivan (MPV),10.0,999000000
Suzuki,XL 7,2020.0,12345.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,405000000
Toyota,Innova,2009.0,128000.0,Xăng,Tự động,Việt Nam,Minivan (MPV),8.0,289000000
Hyundai,Accent,2018.0,91000.0,Xăng,Số sàn,Việt Nam,Sedan,5.0,289000000
Honda,City,2023.0,16000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,509000000
Mercedes Benz,Sprinter,2009.0,150000.0,Dầu,Số sàn,Đức,Van,6.0,175000000
Toyota,Fortuner,2022.0,21400.0,Xăng,Tự động,Nước khác,SUV / Cross over,7.0,981000000
Mercedes Benz,S Class,2020.0,60000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,2479000000
Hyundai,Santa Fe,2018.0,56000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,7.0,695000000
VinFast,VFe34,2022.0,72239.0,Điện,Tự động,Việt Nam,Kiểu dáng khác,5.0,450000000
Hyundai,Elantra,2018.0,100000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,415000000
LandRover,Range Rover Evoque,2022.0,6000.0,Xăng,Tự động,Nước khác,SUV / Cross over,5.0,2399000000
Ford,Focus,2016.0,110000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,345678000
Kia,Sedona,2015.0,115.0,Xăng,Tự động,Việt Nam,SUV / Cross over,7.0,495000000
Honda,City,2017.0,80.0,Xăng,Tự động,Việt Nam,Sedan,5.0,355000000
Ford,Explorer,2021.0,77000.0,Xăng,Tự động,Mỹ,SUV / Cross over,7.0,1670000000
Lexus,LX,2016.0,90000.0,Xăng,Tự động,Nhật Bản,SUV / Cross over,8.0,4999000000
Ford,Ranger,2021.0,42000.0,Dầu,Tự động,Thái Lan,Pick-up (bán tải),5.0,742000000
Mercedes Benz,C Class,2020.0,56000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,999000000
Ford,Ranger,2020.0,86000.0,Dầu,Tự động,Thái Lan,Pick-up (bán tải),5.0,535000000
Toyota,Fortuner,2020.0,49800.0,Dầu,Số sàn,Việt Nam,SUV / Cross over,7.0,817000000
Toyota,Vios,2022.0,78000.0,Xăng,Tự động,Việt Nam,Sedan,2.0,435000000
Mercedes Benz,S Class,2014.0,62000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,1219000000
Ford,Ranger,2019.0,90000.0,Dầu,Số sàn,Thái Lan,Pick-up (bán tải),5.0,460000000
Ford,Ranger,2019.0,80000.0,Dầu,Số sàn,Thái Lan,Pick-up (bán tải),5.0,470000000
