brand,model,year,mileage,fuel_type,transmission,origin,car_type,seats,condition,price
Mitsubishi,Xpander,2022.0,5000.0,Xăng,Tự động,Việt Nam,Minivan (MPV),7.0,Đã sử dụng,575000000
Mazda,CX 5,2017.0,70000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,535000000
Mercedes Benz,C Class,2021.0,48000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,1159000000
Mitsubishi,Xpander,2022.0,5300.0,Xăng,Tự động,Nước khác,Minivan (MPV),7.0,Đã sử dụng,575000000
Ford,Ranger,2021.0,52000.0,Dầu,Tự động,Thái Lan,Pick-up (bán tải),5.0,Đã sử dụng,995000000
Toyota,Innova,2011.0,100000.0,Xăng,Số sàn,Nhật Bản,SUV / Cross over,7.0,Đã sử dụng,170000000
Mitsubishi,Xpander,2019.0,20000.0,Xăng,Tự động,Nhật Bản,Minivan (MPV),5.0,Đã sử dụng,469000000
Ford,EcoSport,2020.0,80000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,458000000
Mitsubishi,Jolie,2004.0,168218.0,Xăng,Số sàn,Việt Nam,SUV / Cross over,8.0,Đã sử dụng,115000000
Toyota,Corolla Cross,2020.0,56000.0,Xăng,5,Thái Lan,SUV / Cross over,5.0,Đã sử dụng,630000000
Kia,Sorento,2018.0,99000.0,Dầu,Tự động,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,610000000
Honda,CR V,2014.0,76000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,450000000
Kia,Carnival,2022.0,21000.0,Dầu,Tự động,Việt Nam,Minivan (MPV),7.0,Đã sử dụng,1265000000
Mazda,CX 5,2023.0,39000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,799000000
Mitsubishi,Xforce,2024.0,13000.0,Xăng,Tự động,Nước khác,SUV / Cross over,5.0,Đã sử dụng,648000000
Hyundai,Tucson,2019.0,58000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,675000000
Suzuki,Ertiga,2022.0,70000.0,Động cơ Hybrid,Tự động,Ấn Độ,Sedan,7.0,Đã sử dụng,470000000
Mitsubishi,Xforce,2024.0,4000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,685000000
Hyundai,Grand i10,2021.0,31000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,370000000
Chevrolet,Colorado,2017.0,93000.0,Dầu,Số sàn,Thái Lan,Pick-up (bán tải),5.0,Đã sử dụng,320000000
Suzuki,XL 7,2022.0,86000.0,Xăng,Tự động,Nước khác,Minivan (MPV),7.0,Đã sử dụng,450000000
Mercedes Benz,C Class,2019.0,28000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,1045000000
Ford,Ranger,2013.0,160000.0,Dầu,Số sàn,Thái Lan,Pick-up (bán tải),5.0,Đã sử dụng,199000000
VinFast,VF3,2024.0,4500.0,Điện,Tự động,Việt Nam,SUV / Cross over,4.0,Đã sử dụng,258000000
Mercedes Benz,C Class,2019.0,63000.0,Xăng,Tự động,Việt Nam,Sedan,4.0,Đã sử dụng,899000000
Toyota,Fortuner,2014.0,106000.0,Dầu,Số sàn,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,540000000
Mazda,3,2020.0,70000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,635000000
Mercedes Benz,GLK Class,2009.0,120000.0,Xăng,Tự động,Đức,SUV / Cross over,5.0,Đã sử dụng,333000000
Ford,Everest,2013.0,6000.0,Dầu,Số sàn,Việt Nam,SUV / Cross over,7.0,Đã sử dụng,275000000
Peugeot,5008,2018.0,95497.0,Xăng,Tự động,Việt Nam,Minivan (MPV),7.0,Đã sử dụng,710000000
Ford,Transit,2016.0,180000.0,Dầu,Số sàn,Việt Nam,Van,16.0,Đã sử dụng,310000000
Mazda,3,2018.0,30000.0,Xăng,Tự động,Việt Nam,Hatchback,5.0,Đã sử dụng,465000000
Mitsubishi,Pajero Sport,2016.0,47000.0,Xăng,Số sàn,Thái Lan,SUV / Cross over,7.0,Đã sử dụng,405000000
Mercedes Benz,C Class,2013.0,90000.0,Xăng,Tự động,Việt Nam,Sedan,4.0,Đã sử dụng,329000000
Toyota,Innova,2008.0,140000.0,Xăng,Số sàn,Việt Nam,Minivan (MPV),8.0,Đã sử dụng,193000000
MG,MGZS,2020.0,79000.0,Xăng,Tự động,Trung Quốc,SUV / Cross over,5.0,Đã sử dụng,389000000
Mitsubishi,Xpander,2022.0,72000.0,Xăng,Tự động,Thái Lan,SUV / Cross over,7.0,Đã sử dụng,470000000
Mitsubishi,Xpander,2019.0,80000.0,Xăng,Tự động,Nước khác,Minivan (MPV),5.0,Đã sử dụng,438000000
Mercedes Benz,C Class,2011.0,80000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,268000000
Suzuki,XL 7,2024.0,24000.0,Xăng,Tự động,Nhật Bản,Minivan (MPV),7.0,Đã sử dụng,555000000
Nissan,Navara,2013.0,100000.0,Xăng,Tự động,Thái Lan,Pick-up (bán tải),5.0,Đã sử dụng,260000000
Mazda,3,2022.0,50000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,555000000
